Bênh viện U bướu Hà Nội,Thành phố Hà Nội,Quận Hai Bà Trưng,   Đc: 42A Thanh Nhàn- Hai Bà Trưng-Hà Nội.,21.004633,105.859168
Bệnh viện Tâm thần,Thành phố Hà Nội,Huyện Thường Tín , Đc: Đường 71- Thường Tín- Hà Nội,20.869578,105.843904
Bệnh viện phụ sản Hà Nội,Thành phố Hà Nội,Quận Ba Đình,Đc: La Thành- Ngọc Khánh- Ba Đình  Hà Nội,21.026795,105.807324
Bệnh viện tâm thần Hà Nội,Thành phố Hà Nội,Quận Long Biên,Đc: Ngõ 467 Nguyễn Văn Linh – P.Sài Đồng – Q.Long Biên – TP. Hà Nội,21.034633,105.909096
Trung tâm chống Lao Hà NộI,Thành phố Hà Nội,Quận Hai Bà Trưng ,Đc: SỐ 44 THANH NHÀN,- Quận Hai Bà Trưng- Hà Nội. ,21.003354,105.858341
Trung tâm mắt Hà Nội,Thành phố Hà Nội,Quận Hai Bà Trưng ,Đc: 37 – Hai Bà Trưng – Q.Hoàn Kiếm,21.018041,105.806789
Trung tâm y tế Đông Anh,Thành phố Hà Nội,Huyện Đông Anh ,Đc: Khối 1 Thị Trấn Đông Anh- Huyện Đông Anh - Hà Nội,21.145494,105.839294
Trung tâm Y tế huyện Thanh Trì,Thành phố Hà Nội,Huyện Thanh Trì,Đc: Thị trấn Văn Điển- Huyện Thanh Trì-Hà Nội.,20.948366,105.846213
Trung tâm Y tế Sóc Sơn,Thành phố Hà Nội,Huyện Thanh Oai,Đc: 54 Tiên Dược- TP Hà Đông- Hà Nội,21.258046,105.851457
Bệnh viện GTVT TƯ,Thành phố Hà Nội,Quận Đống Đa,Đc: 1194 Đường Láng - Đống Đa - Hà Nội,21.025979,105.803104
Bệnh Viện Khu vực 1 Nông Nghiệp,Thành phố Hà Nội,Huyện Thanh Trì,Đc: Đường Ngọc Hồi- Huyện Thanh Trì- Hà Nội,-,20.921122,105.853202
Bệnh viện Y học Cổ truyền TW,Thành phố Hà Nội  ,Huyện Thanh Trì,Đc: 29 Nguyễn Bỉnh Khiêm- Hà Nội.,21.016092,105.848614
Viện bỏng Lê Hữu Trác,Thành phố Hà Nội,Quận Đống Đa,Đc: Thôn Yên Xá- Xã Tân Triều- Huyện Thanh Trì- Hà Nội.,20.966166,105.791367
Viện da liễu,Thành phố Hà Nội,Quận Cầu Giấy,Đc: 15A - Phương Mai - Quận Đống Đa - Hà Nội,21.003802,105.838735
Viện huyết học truyền máu,Thành phố Hà Nội,Quận Cầu Giấy,Đc: Yên Hòa,- Cầu Giấy- Hà Nội,21.024901,105.788482
Viện lão khoa Quốc Gia,Thành phố Hà Nội,Quận Đống Đa,Đc: 1A Phố Phương Mai- Quận Đống Đa,- Hà Nội,21.003769,105.839559
Viện sức khỏe tâm thần,Thành phố Hà Nội,Quận Đống Đa,Đc: 78 Đường Giải Phóng- Quận Đống Đa- Hà Nội-,21.003004,105.838785
Viện tim mạch,Thành phố Hà Nội,Quận Hai Bà Trưng ,Đc: Giải Phóng- Hai Bà Trưng,21.000439,105.839579
Viện Y học lâm sàng các bệnh nhiệt đới,Thành phố Hà Nội,Quận Đống Đa,Đc: 78 GIẢI PHÓNG- P.PHƯƠNG MA- Q.ĐỐNG ĐA- TP. Hà Nội,21.001052,105.841141
Bệnh viện bưu điện 2,Thành phố Hồ Chí Minh,Quận 10, Đc MM12 CX BẮC HẢI TRƯỜNG SƠN-P.15-Q.10-TP. HCM,10.7802759,106.6581971
BỆNH VIỆN ĐA KHOA TƯ NHÂN AN SINH,Thành phố Hồ Chí Minh,Quận Phú Nhuận, Đc: 10 TRẦN HUY LIỆU- P.12- Q.PN- TP. HCM ,10.7911334,106.6764336
BỆNH VIỆN QUÂN DÂN MIỀN ĐÔNG,Thành phố Hồ Chí Minh,Quận 9, Đc: 50 LÊ VĂN VIỆT- P.HIỆP PHÚ- Q.9- TP. HCM ,10.8459577,106.7762942
BỆNH VIỆN UNG BƯỚU TP.HCM,Thành phố Hồ Chí Minh,Quận Bình Tân, Đc: 3 NƠ TRANG LONG- P.7- Q.BT- TP. HCM ,10.8459557,106.7433722
BỆNH VIỆN TRUYỀN MÁU HUYẾT HỌC,Thành phố Hồ Chí Minh,Quận 1, Đc: 201 PHẠM VIẾT CHÁNH- P.NCT- Q.1- TP. HCM ,10.7620262,106.6710571
BỆNH VIỆN CHẤN THƯƠNG CHỈNH HÌNH,Thành phố Hồ Chí Minh,Quận 5, Đc: 929 TRẦN HƯNG ĐẠO- P.1- Q.5- TP. HCM ,10.7541801,106.6760407
BỆNH VIỆN Y HỌC CỔ TRUYỀN,Thành phố Hồ Chí Minh,Quận 1, Đc: 179 NAM KỲ KHỞI NGHĨA- P.7- Q.3- TP. HCM ,10.7858466,106.6854349,17
BỆNH VIỆN TÂM THẦN TP.HCM ,Thành phố Hồ Chí Minh,Quận 1, Đc: 192 BẾN HÀM TỬ- P.1- Q.5- TP. HCM ,10.7524788,106.676106
BỆNH VIỆN BÌNH DÂN,Thành phố Hồ Chí Minh,Quận 3, Đc: 371 ĐIỆN BIÊN PHỦ- P.4- Q.3- TP. HCM ,10.774572,106.677884
BỆNH VIỆN ĐIỀU DƯỠNG - PHỤC HỒI CHỨC NĂNG - ĐIỀU TRỊ BỆNH NGHỀ NGHIỆP,Thành phố Hồ Chí Minh,Quận 8, Đc: 125/61 ÂU DƯƠNG LÂN- P.2- Q.8- TP. HCM ,10.77457,106.6449619
BỆNH VIỆN BỆNH NHIỆT ĐỚI,Thành phố Hồ Chí Minh,Quận 5, Đc: 190 BẾN HÀM TỬ- P.1- Q.5- TP. HCM ,10.7529024,106.6763215
